n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	representation	head	fold	shared_groups
2114	0.804635761589404	0.5954349544790548	0.8938336856941508	0.9308690230005339	0.8341307814992025	0.7616279069767442	0.8361310951239008	0.14057590513717974	655	205	208	1046	layer24_mean	rbf_svm	0	0
2114	0.8088930936613056	0.601586510052349	0.9017562404955306	0.9370259722030614	0.8548644338118022	0.7418604651162791	0.8284389489953632	0.13614538248098387	638	222	182	1072	layer24_mean	rbf_svm	1	0
2113	0.808329389493611	0.6028506212347934	0.9018832402203518	0.9363779541980599	0.8381180223285486	0.7648428405122235	0.8387869114126097	0.13651705497310967	657	202	203	1051	layer24_mean	rbf_svm	2	0
2113	0.8215806909607194	0.6299081131493113	0.9093276370097643	0.9417361159631916	0.8516746411483254	0.7776484284051223	0.8482922954725973	0.13141957193641685	668	191	186	1068	layer24_mean	rbf_svm	3	0
2113	0.8092759110269758	0.6028109919755553	0.9033510273019173	0.936866608573172	0.8523543495610535	0.7465116279069768	0.8304821150855366	0.13561874300365798	642	218	185	1068	layer24_mean	rbf_svm	4	0
2114	0.7942289498580889	0.5752217518502126	0.8822169059011165	0.9232942532685338	0.8189792663476874	0.7581395348837209	0.8315789473684211	0.1376763081076694	652	208	227	1027	layer24_mean	catboost	0	0
2114	0.7989593188268685	0.5830754487890784	0.8854224620748488	0.9253678261573668	0.8325358851674641	0.75	0.82922954725973	0.1357343645559486	645	215	210	1044	layer24_mean	catboost	1	0
2113	0.7931850449597728	0.5707059137223279	0.8840664472059607	0.9254890934442677	0.8293460925039873	0.740395809080326	0.8234362628661916	0.1367849211647915	636	223	214	1040	layer24_mean	catboost	2	0
2113	0.8031235210601041	0.5926045329130004	0.8891352097038023	0.9285003039713052	0.8309409888357256	0.7625145518044237	0.8362760834670947	0.13327690660311411	655	204	212	1042	layer24_mean	catboost	3	0
2113	0.7908187411263606	0.5629447346466095	0.8911366209469366	0.9308961313468898	0.8467677573822825	0.7093023255813954	0.8093058733790999	0.13297995024846393	610	250	192	1061	layer24_mean	catboost	4	0
2114	0.8169347209082308	0.6231140786290923	0.9075321761062276	0.9383374672287164	0.8333333333333334	0.7930232558139535	0.8544562551103843	0.1338362469023376	682	178	209	1045	layer30_mean	rbf_svm	0	0
2114	0.8197729422894986	0.625498618627593	0.9163059604614072	0.9460618400543327	0.8548644338118022	0.7686046511627908	0.8434303697875688	0.12936587924907245	661	199	182	1072	layer30_mean	rbf_svm	1	0
2113	0.8267865593942262	0.6394198502497356	0.9179203962918195	0.946124722559628	0.8652312599681021	0.770663562281723	0.8463338533541341	0.12969407501850197	662	197	169	1085	layer30_mean	rbf_svm	2	0
