fold	target_ratio	system	source_prior	estimated_prior	iterations	boundary	before_n	before_positive	before_ACC	before_MCC	before_Brier	before_log_loss	before_AP	before_AUROC	before_TN	before_FP	before_FN	before_TP	after_n	after_positive	after_ACC	after_MCC	after_Brier	after_log_loss	after_AP	after_AUROC	after_TN	after_FP	after_FN	after_TP
3	0.5	ESMCHalo	0.5932103146219403	0.4920316915495995	10	False	500	250	0.948	0.8961147100247947	0.034996843037978634	0.11876277827251722	0.9928595783975962	0.992464	235	15	11	239	500	250	0.954	0.9081816544981663	0.03472394226988398	0.11874534954148865	0.9928595783975962	0.992464	241	9	14	236
3	0.5	DeepSaltPro	0.5932103146425275	0.516634691694222	9	False	500	250	0.938	0.8768492012393229	0.04738052759588541	0.16141405898158948	0.9887030434545333	0.9866079999999999	229	21	10	240	500	250	0.94	0.8802535495386599	0.04503337882443823	0.15466329652803734	0.9887030434545333	0.9866079999999999	232	18	12	238
3	0.7	ESMCHalo	0.5932103146219403	0.6852670528978055	11	False	500	350	0.938	0.8585541854502227	0.04160102443094595	0.13916320667792578	0.995111617350428	0.9887999999999999	142	8	23	327	500	350	0.942	0.8641894851015918	0.038649941704395306	0.12986268896303324	0.995111617350428	0.9887999999999999	139	11	18	332
3	0.7	DeepSaltPro	0.5932103146425275	0.6952552077706404	10	False	500	350	0.924	0.8243786964470823	0.05243574654335932	0.1840548836275047	0.9908846552181794	0.9790857142857142	137	13	25	325	500	350	0.938	0.8526712277632862	0.05047897124746238	0.17872966350656538	0.9908846552181794	0.9790857142857142	135	15	16	334
4	0.3	ESMCHalo	0.5933286018298609	0.30175870035172947	12	False	500	150	0.928	0.8383981557812196	0.049575438087853134	0.1712356693275683	0.9649597697593031	0.9851047619047618	322	28	8	142	500	150	0.952	0.8857142857142857	0.03942861472140722	0.13943815543986784	0.9649597697593031	0.9851047619047618	338	12	12	138
4	0.3	DeepSaltPro	0.5933286018452871	0.3191211633840967	14	False	500	150	0.91	0.8055255933870291	0.06730530350088228	0.23441810011070335	0.9595402127473674	0.9781333333333333	312	38	7	143	500	150	0.93	0.8330247480375254	0.049407692953514215	0.17063575054813102	0.9595402127473674	0.9781333333333333	333	17	18	132
4	0.5	ESMCHalo	0.5933286018298609	0.49501134221981363	10	False	500	250	0.952	0.9041157342214446	0.03915064389500928	0.14605642538918773	0.9854843134800086	0.985312	236	14	10	240	500	250	0.952	0.9041157342214446	0.0387115152564907	0.14482264674633652	0.9854843134800086	0.985312	240	10	14	236
4	0.5	DeepSaltPro	0.5933286018452871	0.5352548527113361	13	False	500	250	0.926	0.8531542453377217	0.05704736469696876	0.1987157639319562	0.9827194485235955	0.9818880000000001	225	25	12	238	500	250	0.936	0.8722512445428539	0.05437800562312549	0.1884233513848152	0.9827194485235955	0.9818880000000001	231	19	13	237
4	0.7	ESMCHalo	0.5933286018298609	0.7120562275541997	11	False	500	350	0.952	0.8857142857142857	0.03652386180160871	0.13229975782011222	0.9906512493308361	0.9841333333333333	138	12	12	338	500	350	0.956	0.8942864249947949	0.036789609145705865	0.13351448464476612	0.9906512493308361	0.9841333333333333	135	15	7	343
4	0.7	DeepSaltPro	0.5933286018452871	0.7474689990888939	16	False	500	350	0.92	0.808832374759944	0.05607493905959168	0.18729377724633622	0.9887854533042864	0.9750285714285714	129	21	19	331	500	350	0.918	0.8009844555557657	0.06010446227889126	0.20507293378719227	0.9887854533042864	0.9750285714285714	119	31	10	340
